Title,Home,Away,Court,Date,Time
Dolphins vs High Performance Cabrones,Dolphins,High Performance Cabrones,redwest,08/07/2024,4:30
Three Pointless vs Dolphins,Three Pointless,Dolphins,redwest,08/08/2024,6:30
Multi-Factor Threat vs Microballers,Multi-Factor Threat,Microballers,43,08/08/2024,4:30
Clippies vs Ballmer's C-team,Clippies,Ballmer's C-team,redwest,08/08/2024,5:30
ARM Flex vs Not Elixer,ARM Flex,Not Elixer,92,08/08/2024,5:30
Edgehogs vs Puerto Ricans @ MSFT,Edgehogs,Puerto Ricans @ MSFT,92,08/08/2024,4:30
Three Pointless vs NorthWest Umbrerllas,Three Pointless,NorthWest Umbrerllas,92,08/09/2024,6:30
Edgehogs vs The Dream Team,Edgehogs,The Dream Team,43,08/12/2024,4:30
Ballmer's C-team vs NorthWest Umbrerllas,Ballmer's C-team,NorthWest Umbrerllas,redwest,08/12/2024,5:30
Json Tatum Deuce Daddy vs ARM Flex,Json Tatum Deuce Daddy,ARM Flex,43,08/12/2024,6:30
Puerto Ricans @ MSFT vs High Performance Cabrones,Puerto Ricans @ MSFT,High Performance Cabrones,43,08/12/2024,5:30
Highly Privileged vs Clippies,Highly Privileged,Clippies,92,08/12/2024,6:30
Json Tatum Deuce Daddy vs Dolphins,Json Tatum Deuce Daddy,Dolphins,92,08/13/2024,5:30
Clippies vs Microballers,Clippies,Microballers,43,08/13/2024,6:30
Dolphins vs The Dream Team,Dolphins,The Dream Team,redwest,08/14/2024,5:30
Clippies vs Not Elixer,Clippies,Not Elixer,43,08/19/2024,6:30
